"start_date","end_date"
19821211,19830118
19840104,19840324
19850123,19850302
19851217,19860207
19860227,19860423
19890324,19890504
19891219,19900209
19900210,19900328
19941003,19941226
19971124,19980111
19991001,19991121
20001110,20001217
20021210,20030125
20040117,20040225
20050314,20050425
20071204,20080122
20091223,20100217
20120213,20120410
20160112,20160305
